P1,P2,P3,P4,P5,P6,P7,P8,P9,Solution
1,2,3,4,5,6,7,8,0,0
1,2,3,4,5,6,7,0,8,1
1,2,3,4,0,5,7,8,6,2
1,0,3,4,2,5,7,8,6,3
1,5,2,4,0,3,7,8,6,4
1,5,2,0,4,3,7,8,6,5
1,5,2,4,8,3,7,6,0,6
1,5,2,4,8,0,7,6,3,7
0,5,2,1,8,3,4,7,6,8
1,0,2,8,5,3,4,7,6,9
5,8,2,1,0,3,4,7,6,10
5,8,2,1,7,3,4,0,6,11
5,8,2,0,7,3,1,4,6,13
5,8,2,1,7,3,0,4,6,12
5,8,2,7,0,3,1,4,6,14
8,0,2,5,7,3,1,4,6,15
8,7,2,5,0,3,1,4,6,16
5,0,8,7,3,2,1,4,6,17
8,7,2,5,4,3,1,6,0,18
8,0,7,5,3,2,1,4,6,19
8,7,0,5,4,2,1,6,3,20
8,0,7,5,4,2,1,6,3,21
0,8,7,5,4,2,1,6,3,22
8,4,7,5,6,2,1,0,3,23
8,4,7,5,6,2,1,3,0,24
8,4,7,5,6,0,1,3,2,25
0,4,7,8,6,2,5,1,3,26
8,0,7,5,4,6,1,3,2,27
8,4,7,6,2,3,5,1,0,28
8,0,6,5,7,3,1,2,4,29
0,8,7,5,6,4,1,2,3,30
8,6,7,2,5,4,3,0,1,31
